url,3p-domain
https://web.archive.org/web/20130524112005/http://027art.com/,baidu
https://web.archive.org/web/20130518140954/http://1001-attitude.com/,
https://web.archive.org/web/20130412034543/http://www.101science.com:80/,"amazon,google-analytics"
https://web.archive.org/web/20130520123043/http://10emtudo.com.br/,"google,addthis,google-analytics,googleapis"
https://web.archive.org/web/20130518030535/http://www.10ticks.co.uk:80/,"facebook,addthis,google"
https://web.archive.org/web/20130523040137/http://121sensei.com/,
https://web.archive.org/web/20130404101339/http://www.121spanish.com/,"cloudflare,addthis,google-analytics,youtube,facebook,appspot,google"
https://web.archive.org/web/20130521135617/http://www.123child.com:80/,"quantserve,googlesyndication,qksz,adzerk,facebook"
https://web.archive.org/web/20130524131654/http://www.123teachme.com:80/,"googlesyndication,cloudfront,google-analytics,google"
https://web.archive.org/web/20130407170745/http://www.12thmanfoundation.com:80/?,"google-analytics,googleapis"
https://web.archive.org/web/20131217010707/http://www.1lo.gniezno.pl/,
https://web.archive.org/web/20130525065613/http://1safedriver.com/,"youtube,jquery,google-analytics"
https://web.archive.org/web/20130429215459/http://1stclassdriving.co.uk/,"googleadservices,youtube,google-analytics,google"
https://web.archive.org/web/20130522213603/http://1tvs.ru/,"yadro,rambler,yandex"
https://web.archive.org/web/20130602171843/http://2004.sports.sohu.com/,
https://web.archive.org/web/20130524184748/http://2010.sina.com.cn/,"sinaimg,imrworldwide,doubleclick"
https://web.archive.org/web/20130430055613/http://2012.chinadaily.com.cn/,google-analytics
https://web.archive.org/web/20130524002721/http://2012.sina.com.cn/,sinaimg
https://web.archive.org/web/20130520210854/http://www.21.edu.ar:80/,"skype,google-analytics,googleapis"
https://web.archive.org/web/20130525174757/http://21cif.com/,"facebook,google-analytics,google"
https://web.archive.org/web/20130518193344/http://21slo.edu.pl/,
https://web.archive.org/web/20130817055628/http://www.26316-blagsosh1.edusite.ru/,
https://web.archive.org/web/20130413040518/http://268generation.com:80/,google-analytics
https://web.archive.org/web/20130522213155/http://2cj.com/,
https://web.archive.org/web/20130601180132/http://2ei.univ-perp.fr/,
https://web.archive.org/web/20130521131607/http://2ie-edu.org/,
https://web.archive.org/web/20130523163533/http://2lolowicz.pl/,
https://web.archive.org/web/20130210010643/http://301.dyon.pl/,google-analytics
https://web.archive.org/web/20140804011013/http://www.35icho.uoa.gr/,
https://web.archive.org/web/20130518211416/http://3jidi.com/,baidu
