"year","url_host_name","url_host_registered_domain","warc_filename","url","warc_record_offset","warc_record_length","ranking"
"2018","www.databoxproject.uk","databoxproject.uk","crawl-data/CC-MAIN-2018-05/segments/1516084892238.78/warc/CC-MAIN-20180123191341-20180123211341-00395.warc.gz","http://www.databoxproject.uk/","423565133","15454","1"
"2018","www.betstars.uk","betstars.uk","crawl-data/CC-MAIN-2018-51/segments/1544376823339.35/warc/CC-MAIN-20181210123246-20181210144746-00617.warc.gz","https://www.betstars.uk/?wc2l=webcashier","812784471","6355","1"
"2019","www.millyvoice.uk","millyvoice.uk","crawl-data/CC-MAIN-2019-13/segments/1552912207146.96/warc/CC-MAIN-20190327000624-20190327022624-00520.warc.gz","http://www.millyvoice.uk/","319515052","12136","1"
"2018","www.northmymmshistory.uk","northmymmshistory.uk","crawl-data/CC-MAIN-2018-09/segments/1518891815034.13/warc/CC-MAIN-20180224013638-20180224033638-00533.warc.gz","http://www.northmymmshistory.uk/","496060258","15678","1"
"2018","www.wpmaz.uk","wpmaz.uk","crawl-data/CC-MAIN-2018-09/segments/1518891812978.31/warc/CC-MAIN-20180220145713-20180220165713-00016.warc.gz","http://www.wpmaz.uk/","571260732","27403","1"
"2021","www.tutorsandexams.uk","tutorsandexams.uk","crawl-data/CC-MAIN-2021-43/segments/1634323588526.57/warc/CC-MAIN-20211028193601-20211028223601-00490.warc.gz","https://www.tutorsandexams.uk/?porto_builder=error-page","1260034658","10966","1"
"2020","www.lauravanderheijden.uk","lauravanderheijden.uk","crawl-data/CC-MAIN-2020-05/segments/1579251773463.72/warc/CC-MAIN-20200128030221-20200128060221-00485.warc.gz","http://www.lauravanderheijden.uk/","235721419","7906","1"
"2018","www.contracts.mod.uk","mod.uk","crawl-data/CC-MAIN-2018-09/segments/1518891812913.37/warc/CC-MAIN-20180220070423-20180220090423-00569.warc.gz","https://www.contracts.mod.uk/","834504559","22353","1"
"2018","www.lancs-catholic-chaplaincy.uk","lancs-catholic-chaplaincy.uk","crawl-data/CC-MAIN-2018-05/segments/1516084892802.73/warc/CC-MAIN-20180123231023-20180124011023-00423.warc.gz","http://www.lancs-catholic-chaplaincy.uk/","493151087","19108","1"
"2014","www.bookshop.parliament.uk","parliament.uk","crawl-data/CC-MAIN-2014-10/segments/1394678703018/warc/CC-MAIN-20140313024503-00039-ip-10-183-142-35.ec2.internal.warc.gz","http://www.bookshop.parliament.uk/","225481187","7949","1"
"2020","www.defundbbc.uk","defundbbc.uk","crawl-data/CC-MAIN-2020-29/segments/1593655902377.71/warc/CC-MAIN-20200709224746-20200710014746-00345.warc.gz","https://www.defundbbc.uk/","836613350","14558","1"
"2020","www.erectile-dysfunction-solutions.uk","erectile-dysfunction-solutions.uk","crawl-data/CC-MAIN-2020-05/segments/1579250593937.27/warc/CC-MAIN-20200118193018-20200118221018-00193.warc.gz","https://www.erectile-dysfunction-solutions.uk/","863003902","26228","1"
"2020","www.wafflemama.uk","wafflemama.uk","crawl-data/CC-MAIN-2020-34/segments/1596439735939.26/warc/CC-MAIN-20200805094821-20200805124821-00503.warc.gz","https://www.wafflemama.uk/?m=1","888622040","25019","1"
"2017","www.nickroach.uk","nickroach.uk","crawl-data/CC-MAIN-2017-04/segments/1484560280410.21/warc/CC-MAIN-20170116095120-00534-ip-10-171-10-70.ec2.internal.warc.gz","https://www.nickroach.uk/","957896276","10315","1"
"2017","www.radiodiva.uk","radiodiva.uk","crawl-data/CC-MAIN-2017-09/segments/1487501169769.33/warc/CC-MAIN-20170219104609-00126-ip-10-171-10-108.ec2.internal.warc.gz","http://www.radiodiva.uk/","566462858","8062","1"
"2020","www.splatoralcare.uk","splatoralcare.uk","crawl-data/CC-MAIN-2020-05/segments/1579251799918.97/warc/CC-MAIN-20200129133601-20200129163601-00485.warc.gz","https://www.splatoralcare.uk/","1082303800","43221","1"
"2016","www.raybansunglasses.uk","raybansunglasses.uk","crawl-data/CC-MAIN-2016-22/segments/1464049275645.9/warc/CC-MAIN-20160524002115-00184-ip-10-185-217-139.ec2.internal.warc.gz","http://www.raybansunglasses.uk/","762230513","5162","1"
"2019","www.secondreading.uk","secondreading.uk","crawl-data/CC-MAIN-2019-26/segments/1560627998462.80/warc/CC-MAIN-20190617083027-20190617105027-00389.warc.gz","https://www.secondreading.uk/?longdesc=2994&referrer=2990","884288965","30858","1"
"2020","www.adventurestories.uk","adventurestories.uk","crawl-data/CC-MAIN-2020-40/segments/1600402131986.91/warc/CC-MAIN-20201001174918-20201001204918-00309.warc.gz","https://www.adventurestories.uk/","655100003","5080","1"
"2019","www.robotcamelfilms.uk","robotcamelfilms.uk","crawl-data/CC-MAIN-2019-04/segments/1547583657557.2/warc/CC-MAIN-20190116175238-20190116201238-00358.warc.gz","http://www.robotcamelfilms.uk/","368188814","6635","1"
"2020","www.valvecollector.uk","valvecollector.uk","crawl-data/CC-MAIN-2020-05/segments/1579251672440.80/warc/CC-MAIN-20200125101544-20200125130544-00175.warc.gz","https://www.valvecollector.uk/","1121132072","3368","1"
"2019","www.matchesinthedark.uk","matchesinthedark.uk","crawl-data/CC-MAIN-2019-04/segments/1547583684033.26/warc/CC-MAIN-20190119221320-20190120003320-00418.warc.gz","http://www.matchesinthedark.uk/","348857078","20080","1"
"2021","www.creativeacademic.uk","creativeacademic.uk","crawl-data/CC-MAIN-2021-04/segments/1610703514046.20/warc/CC-MAIN-20210117235743-20210118025743-00040.warc.gz","https://www.creativeacademic.uk/","775196093","14035","1"
"2017","www.netweaver.uk","netweaver.uk","crawl-data/CC-MAIN-2017-04/segments/1484560280746.40/warc/CC-MAIN-20170116095120-00355-ip-10-171-10-70.ec2.internal.warc.gz","https://www.netweaver.uk/","945254350","8375","1"
"2014","www.theweddingshop.uk","theweddingshop.uk","crawl-data/CC-MAIN-2014-41/segments/1410657138980.37/warc/CC-MAIN-20140914011218-00182-ip-10-234-18-248.ec2.internal.warc.gz","http://www.theweddingshop.uk/","866608457","18233","1"
"2019","www.josharcher.uk","josharcher.uk","crawl-data/CC-MAIN-2019-04/segments/1547583658928.22/warc/CC-MAIN-20190117102635-20190117124635-00207.warc.gz","https://www.josharcher.uk/","812208888","6729","1"
"2019","www.tennantlab.uk","tennantlab.uk","crawl-data/CC-MAIN-2019-04/segments/1547583875448.71/warc/CC-MAIN-20190122223011-20190123005011-00105.warc.gz","https://www.tennantlab.uk/","929306291","13487","1"
"2019","www.vividlounge.uk","vividlounge.uk","crawl-data/CC-MAIN-2019-04/segments/1547583659417.14/warc/CC-MAIN-20190117224929-20190118010929-00571.warc.gz","http://www.vividlounge.uk/","409101831","15304","1"
"2019","www.whitehartlink.uk","whitehartlink.uk","crawl-data/CC-MAIN-2019-04/segments/1547584519382.88/warc/CC-MAIN-20190124055924-20190124081924-00161.warc.gz","http://www.whitehartlink.uk/","408892962","18586","1"
"2019","www.lissarchaeology.uk","lissarchaeology.uk","crawl-data/CC-MAIN-2019-04/segments/1547583656665.34/warc/CC-MAIN-20190116031807-20190116053807-00497.warc.gz","https://www.lissarchaeology.uk/","867818577","18252","1"
"2019","www.katescloset.uk","katescloset.uk","crawl-data/CC-MAIN-2019-04/segments/1547583662863.53/warc/CC-MAIN-20190119074836-20190119100836-00204.warc.gz","https://www.katescloset.uk/","851751315","25299","1"
"2018","www.designcontest.uk","designcontest.uk","crawl-data/CC-MAIN-2018-09/segments/1518891812788.42/warc/CC-MAIN-20180219191343-20180219211343-00602.warc.gz","https://www.designcontest.uk/","843136162","11946","1"
"2018","www.bornready.uk","bornready.uk","crawl-data/CC-MAIN-2018-05/segments/1516084886952.14/warc/CC-MAIN-20180117173312-20180117193312-00125.warc.gz","http://www.bornready.uk/","401387928","14685","1"
"2021","www.10degrees.uk","10degrees.uk","crawl-data/CC-MAIN-2021-04/segments/1610704800238.80/warc/CC-MAIN-20210126135838-20210126165838-00108.warc.gz","https://www.10degrees.uk/","636202712","9691","1"
"2018","www.findwiki.uk","findwiki.uk","crawl-data/CC-MAIN-2018-26/segments/1529267863407.58/warc/CC-MAIN-20180620011502-20180620031502-00060.warc.gz","http://www.findwiki.uk/","410718425","4771","1"
"2021","www.ariana2.uk","ariana2.uk","crawl-data/CC-MAIN-2021-49/segments/1637964358233.7/warc/CC-MAIN-20211127193525-20211127223525-00310.warc.gz","http://www.ariana2.uk","93355583","5296","1"
"2018","www.xboat.uk","xboat.uk","crawl-data/CC-MAIN-2018-05/segments/1516084887729.45/warc/CC-MAIN-20180119030106-20180119050106-00027.warc.gz","http://www.xboat.uk/","588611762","6581","1"
"2018","www.yrstruly.uk","yrstruly.uk","crawl-data/CC-MAIN-2018-34/segments/1534221217901.91/warc/CC-MAIN-20180820234831-20180821014831-00253.warc.gz","http://www.yrstruly.uk/","594663431","4258","1"
"2017","www.parliament.uk","parliament.uk","crawl-data/CC-MAIN-2017-04/segments/1484560280825.87/warc/CC-MAIN-20170116095120-00032-ip-10-171-10-70.ec2.internal.warc.gz","http://www.parliament.uk/?lang=_e","624835466","12617","1"
"2018","www.margotparkermep.uk","margotparkermep.uk","crawl-data/CC-MAIN-2018-05/segments/1516084886939.10/warc/CC-MAIN-20180117122304-20180117142304-00182.warc.gz","http://www.margotparkermep.uk/","484320159","3794","1"
"2021","www.newukcasino.uk","newukcasino.uk","crawl-data/CC-MAIN-2021-04/segments/1610703529331.99/warc/CC-MAIN-20210122113332-20210122143332-00654.warc.gz","http://www.newukcasino.uk/","153425187","20003","1"
"2020","www.britishthoughts.uk","britishthoughts.uk","crawl-data/CC-MAIN-2020-10/segments/1581875145742.20/warc/CC-MAIN-20200223001555-20200223031555-00496.warc.gz","http://www.britishthoughts.uk/","170039978","28074","1"
"2020","www.reactradio.uk","reactradio.uk","crawl-data/CC-MAIN-2020-05/segments/1579250608062.57/warc/CC-MAIN-20200123011418-20200123040418-00398.warc.gz","https://www.reactradio.uk/","1043866790","61455","1"
"2018","www.tilix.uk","tilix.uk","crawl-data/CC-MAIN-2018-09/segments/1518891814290.11/warc/CC-MAIN-20180222200259-20180222220259-00489.warc.gz","http://www.tilix.uk/","552567006","4287","1"
"2017","www.vincentpricelegacy.uk","vincentpricelegacy.uk","crawl-data/CC-MAIN-2017-04/segments/1484560280266.9/warc/CC-MAIN-20170116095120-00332-ip-10-171-10-70.ec2.internal.warc.gz","http://www.vincentpricelegacy.uk/","755208243","33484","1"
"2020","www.odcamp.uk","odcamp.uk","crawl-data/CC-MAIN-2020-05/segments/1579250589861.0/warc/CC-MAIN-20200117152059-20200117180059-00248.warc.gz","https://www.odcamp.uk/","1036698971","17281","1"
"2020","www.artrusse.uk","artrusse.uk","crawl-data/CC-MAIN-2020-16/segments/1585370529375.49/warc/CC-MAIN-20200405053120-20200405083120-00402.warc.gz","http://www.artrusse.uk/","188817294","6047","1"
"2019","www.airsorted.uk","airsorted.uk","crawl-data/CC-MAIN-2019-43/segments/1570986660231.30/warc/CC-MAIN-20191015182235-20191015205735-00444.warc.gz","https://www.airsorted.uk/?ref=betalist","762916428","13368","1"
"2018","www.thec3.uk","thec3.uk","crawl-data/CC-MAIN-2018-05/segments/1516084889660.55/warc/CC-MAIN-20180120142458-20180120162458-00549.warc.gz","https://www.thec3.uk/","970043608","11673","1"
"2017","www.aspfair.uk","aspfair.uk","crawl-data/CC-MAIN-2017-13/segments/1490218191986.44/warc/CC-MAIN-20170322212951-00396-ip-10-233-31-227.ec2.internal.warc.gz","http://www.aspfair.uk/","419817889","3003","1"
"2018","www.flossyandwillow.uk","flossyandwillow.uk","crawl-data/CC-MAIN-2018-05/segments/1516084887065.16/warc/CC-MAIN-20180118032119-20180118052119-00324.warc.gz","http://www.flossyandwillow.uk/","437528907","9861","1"
"2020","www.dementiasplatform.uk","dementiasplatform.uk","crawl-data/CC-MAIN-2020-05/segments/1579250594603.8/warc/CC-MAIN-20200119122744-20200119150744-00467.warc.gz","https://www.dementiasplatform.uk/","853041425","19180","1"
"2019","www.e-liquids.uk","e-liquids.uk","crawl-data/CC-MAIN-2019-04/segments/1547583658981.19/warc/CC-MAIN-20190117123059-20190117145059-00595.warc.gz","https://www.e-liquids.uk/","760314285","59043","1"
"2018","www.nerc-resist.uk","nerc-resist.uk","crawl-data/CC-MAIN-2018-30/segments/1531676591683.78/warc/CC-MAIN-20180720135213-20180720155213-00243.warc.gz","https://www.nerc-resist.uk/","932820462","5406","1"
"2019","www.rjbsoftware.uk","rjbsoftware.uk","crawl-data/CC-MAIN-2019-04/segments/1547584445118.99/warc/CC-MAIN-20190124014810-20190124040810-00533.warc.gz","https://www.rjbsoftware.uk/","926287259","2709","1"
"2019","www.blogs2018.buprojects.uk","buprojects.uk","crawl-data/CC-MAIN-2019-09/segments/1550247481832.13/warc/CC-MAIN-20190217091542-20190217113542-00024.warc.gz","http://www.blogs2018.buprojects.uk/","315068988","9057","1"
"2020","www.restorationandrenewal.uk","restorationandrenewal.uk","crawl-data/CC-MAIN-2020-29/segments/1593655896169.35/warc/CC-MAIN-20200708000016-20200708030016-00051.warc.gz","https://www.restorationandrenewal.uk/","1064127871","19445","1"
"2020","www.lobbying-register.uk","lobbying-register.uk","crawl-data/CC-MAIN-2020-05/segments/1579250610919.33/warc/CC-MAIN-20200123131001-20200123160001-00392.warc.gz","https://www.lobbying-register.uk/","961086793","3538","1"
